Point_ID,Point_Name,Target_x,Target_y,Measured_x,Measured_y,Delta_xy,Measured_Luminance_Y_nits,Offset_dx,Offset_dy,Adjusted_Target_x,Adjusted_Target_y,Delta_uv,RGB_Value,Target_Exceeds_P3,Measured_Exceeds_P3,Test_Verdict
1,P1,0.6940,0.3060,0.6732,0.3268,0.0294,56.0431,0.0000,0.0000,0.6940,0.3060,0.0428,"(255, 51, 0)",YES,YES,EXCEEDED_P3
2,P2,0.5987,0.3935,0.5540,0.4351,0.0611,103.9615,0.0000,0.0000,0.5987,0.3935,0.0560,"(255, 140, 12)",YES,YES,EXCEEDED_P3
3,P3,0.5034,0.4810,0.4702,0.5075,0.0425,170.7761,0.0000,0.0000,0.5034,0.4810,0.0287,"(255, 208, 22)",YES,YES,EXCEEDED_P3
4,P4,0.4081,0.5685,0.4026,0.5658,0.0061,215.4569,0.0000,0.0000,0.4081,0.5685,0.0024,"(225, 255, 28)",YES,NO,IN_P3_GAMUT
5,P5,0.3128,0.6560,0.3174,0.6388,0.0178,186.0763,0.0000,0.0000,0.3128,0.6560,0.0054,"(158, 255, 28)",YES,NO,IN_P3_GAMUT
6,P6,0.2175,0.7435,0.2600,0.6880,0.0699,170.5799,0.0000,0.0000,0.2175,0.7435,0.0219,"(87, 255, 29)",YES,YES,EXCEEDED_P3
7,P7,0.5833,0.2554,0.5180,0.2481,0.0657,60.6454,0.0000,0.0000,0.5833,0.2554,0.0596,"(255, 52, 115)",YES,NO,IN_P3_GAMUT
8,P8,0.4726,0.2048,0.4168,0.1966,0.0564,66.3221,0.0000,0.0000,0.4726,0.2048,0.0535,"(255, 53, 180)",YES,NO,IN_P3_GAMUT
9,P9,0.3619,0.1542,0.3343,0.1548,0.0276,75.6875,0.0000,0.0000,0.3619,0.1542,0.0318,"(252, 55, 255)",YES,NO,IN_P3_GAMUT
10,P10,0.2512,0.1036,0.2626,0.1190,0.0192,48.1413,0.0000,0.0000,0.2512,0.1036,0.0252,"(164, 40, 255)",YES,NO,IN_P3_GAMUT
11,P11,0.1405,0.0530,0.1504,0.0641,0.0149,20.4431,0.0000,0.0000,0.1405,0.0530,0.0249,"(47, 25, 255)",YES,YES,EXCEEDED_P3
12,P12,0.2021,0.6054,0.2361,0.5521,0.0632,177.2298,0.0000,0.0000,0.2021,0.6054,0.0233,"(89, 255, 119)",YES,YES,EXCEEDED_P3
13,P13,0.1867,0.4673,0.2162,0.4378,0.0417,182.8790,0.0000,0.0000,0.1867,0.4673,0.0211,"(91, 255, 184)",YES,YES,EXCEEDED_P3
14,P14,0.1713,0.3292,0.1982,0.3362,0.0278,190.6840,0.0000,0.0000,0.1713,0.3292,0.0174,"(93, 246, 255)",YES,YES,EXCEEDED_P3
15,P15,0.1559,0.1911,0.1769,0.2163,0.0328,91.3248,0.0000,0.0000,0.1559,0.1911,0.0279,"(69, 159, 255)",YES,YES,EXCEEDED_P3
